"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"ADNOT","Philippe","NI","Union des radicaux, centristes, indépendants et démocrates","H","Aube","philippe-adnot","http://www.senat.fr/senateur/adnot_philippe89017r.html"
"AÏCHI","Leila","ECOLO","Europe Écologie Les Verts","F","Paris","leila-aichi","http://www.senat.fr/senateur/aichi_leila11076s.html"
"ALFONSI","Nicolas","RDSE","Parti radical de gauche","H","Corse-du-Sud","nicolas-alfonsi","http://www.senat.fr/senateur/alfonsi_nicolas01065w.html"
"ALQUIER","Jacqueline","SOC","Parti socialiste","F","Tarn","jacqueline-alquier","http://www.senat.fr/senateur/alquier_jacqueline04087r.html"
"AMOUDRY","Jean-Paul","UDI-UC","Association PSLE Nouveau Centre","H","Haute-Savoie","jean-paul-amoudry","http://www.senat.fr/senateur/amoudry_jean_paul95005a.html"
"ANDRÉ","Michèle","SOC","Parti socialiste","F","Puy-de-Dôme","michele-andre","http://www.senat.fr/senateur/andre_michele01031l.html"
"ANDRÉ","Pierre","UMP","Union pour un Mouvement Populaire","H","Aisne","pierre-andre","http://www.senat.fr/senateur/andre_pierre98036v.html"
"ANDREONI","Serge","SOC","Parti socialiste","H","Bouches-du-Rhône","serge-andreoni","http://www.senat.fr/senateur/andreoni_serge08040s.html"
"ANGO ELA","Kalliopi","ECOLO","Europe Écologie Les Verts","F","Français établis hors de France","kalliopi-ango-ela","http://www.senat.fr/senateur/ango_ela_kalliopi12040w.html"
"ANTISTE","Maurice","SOC","Parti progressiste Martiniquais","H","Martinique","maurice-antiste","http://www.senat.fr/senateur/antiste_maurice11109j.html"
"ANTOINETTE","Jean-Étienne","SOC","Parti socialiste","H","Guyane","jean-etienne-antoinette","http://www.senat.fr/senateur/antoinette_jean_etienne08072b.html"
"ANZIANI","Alain","SOC","Parti socialiste","H","Gironde","alain-anziani","http://www.senat.fr/senateur/anziani_alain08025t.html"
"ARCHIMBAUD","Aline","ECOLO","Europe Écologie Les Verts","F","Seine-Saint-Denis","aline-archimbaud","http://www.senat.fr/senateur/archimbaud_aline11055m.html"
"ARTHUIS","Jean","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Mayenne","jean-arthuis","http://www.senat.fr/senateur/arthuis_jean83011j.html"
"ASSASSI","Éliane","CRC","Parti communiste Français","F","Seine-Saint-Denis","eliane-assassi","http://www.senat.fr/senateur/assassi_eliane04085p.html"
"ASSOULINE","David","SOC","Parti socialiste","H","Paris","david-assouline","http://www.senat.fr/senateur/assouline_david04059m.html"
"AUBAN","Bertrand","SOC","Parti socialiste","H","Haute-Garonne","bertrand-auban","http://www.senat.fr/senateur/auban_bertrand98011l.html"
"BAILLY","Dominique","SOC","Parti socialiste","H","Nord","dominique-bailly","http://www.senat.fr/senateur/bailly_dominique11039m.html"
"BAILLY","Gérard","UMP","Union pour un Mouvement Populaire","H","Jura","gerard-bailly","http://www.senat.fr/senateur/bailly_gerard01008m.html"
"BARBIER","Gilbert","RDSE","Parti radical de gauche","H","Jura","gilbert-barbier","http://www.senat.fr/senateur/barbier_gilbert01046t.html"
"BAS","Philippe","UMP","Union pour un Mouvement Populaire","H","Manche","philippe-bas","http://www.senat.fr/senateur/bas_philippe05008e.html"
"BATAILLE","Delphine","SOC","Parti socialiste","F","Nord","delphine-bataille","http://www.senat.fr/senateur/bataille_delphine11036j.html"
"BAYLET","Jean-Michel","RDSE","Parti radical de gauche","H","Tarn-et-Garonne","jean-michel-baylet","http://www.senat.fr/senateur/baylet_jean_michel86010v.html"
"BEAUFILS","Marie-France","CRC","Parti communiste Français","F","Indre-et-Loire","marie-france-beaufils","http://www.senat.fr/senateur/beaufils_marie_france01013j.html"
"BEAUMONT","René","UMP","Union pour un Mouvement Populaire","H","Saône-et-Loire","rene-beaumont","http://www.senat.fr/senateur/beaumont_rene04091m.html"
"BÉCHU","Christophe","UMP","Union pour un Mouvement Populaire","H","Maine-et-Loire","christophe-bechu","http://www.senat.fr/senateur/bechu_christophe11030c.html"
"BÉCOT","Michel","UMP","Union pour un Mouvement Populaire","H","Deux-Sèvres","michel-becot","http://www.senat.fr/senateur/becot_michel95009e.html"
"BEL","Jean-Pierre","SOC","Parti socialiste","H","Ariège","jean-pierre-bel","http://www.senat.fr/senateur/bel_jean_pierre98006p.html"
"BELOT","Claude","UMP","Union pour un Mouvement Populaire","H","Charente-Maritime","claude-belot","http://www.senat.fr/senateur/belot_claude89013m.html"
"BENBASSA","Esther","ECOLO","Europe Écologie Les Verts","F","Val-de-Marne","esther-benbassa","http://www.senat.fr/senateur/benbassa_esther11033f.html"
"BÉRIT-DÉBAT","Claude","SOC","Parti socialiste","H","Dordogne","claude-berit-debat","http://www.senat.fr/senateur/berit_debat_claude08055a.html"
"BERNARD-REYMOND","Pierre","NI","Non rattaché","H","Hautes-Alpes","pierre-bernard-reymond","http://www.senat.fr/senateur/bernard_reymond_pierre07003h.html"
"BERSON","Michel","SOC","Parti socialiste","H","Essonne","michel-berson","http://www.senat.fr/senateur/berson_michel11068s.html"
"BERTHOU","Jacques","SOC","Parti socialiste","H","Ain","jacques-berthou","http://www.senat.fr/senateur/berthou_jacques08059e.html"
"BERTRAND","Alain","RDSE","Parti socialiste","H","Lozère","alain-bertrand","http://www.senat.fr/senateur/bertrand_alain11081p.html"
"BESSON","Jean","SOC","Parti socialiste","H","Drôme","jean-besson","http://www.senat.fr/senateur/besson_jean89015p.html"
"BILLARD","Joël","UMP","Union pour un Mouvement Populaire","H","Eure-et-Loir","joel-billard","http://www.senat.fr/senateur/billard_joel01064v.html"
"BILLOUT","Michel","CRC","Parti communiste Français","H","Seine-et-Marne","michel-billout","http://www.senat.fr/senateur/billout_michel04054g.html"
"BIZET","Jean","UMP","Union pour un Mouvement Populaire","H","Manche","jean-bizet","http://www.senat.fr/senateur/bizet_jean96004d.html"
"BLANDIN","Marie-Christine","ECOLO","Europe Écologie Les Verts","F","Nord","marie-christine-blandin","http://www.senat.fr/senateur/blandin_marie_christine01044r.html"
"BLONDIN","Maryvonne","SOC","Parti socialiste","F","Finistère","maryvonne-blondin","http://www.senat.fr/senateur/blondin_maryvonne08043v.html"
"BOCKEL","Jean-Marie","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Haut-Rhin","jean-marie-bockel","http://www.senat.fr/senateur/bockel_jean_marie04040a.html"
"BOCQUET","Éric","CRC","Parti communiste Français","H","Nord","eric-bocquet","http://www.senat.fr/senateur/bocquet_eric11040e.html"
"BONNEFOY","Nicole","SOC","Parti socialiste","F","Charente","nicole-bonnefoy","http://www.senat.fr/senateur/bonnefoy_nicole08060w.html"
"BOOG","Françoise","UMP","Union pour un Mouvement Populaire","F","Haut-Rhin","francoise-boog","http://www.senat.fr/senateur/boog_francoise13003v.html"
"BORDIER","Pierre","UMP","Union pour un Mouvement Populaire","H","Yonne","pierre-bordier","http://www.senat.fr/senateur/bordier_pierre04073k.html"
"BOTREL","Yannick","SOC","Parti socialiste","H","Côtes-d'Armor","yannick-botrel","http://www.senat.fr/senateur/botrel_yannick08014q.html"
"BOUCHART","Natacha","UMP","Union pour un Mouvement Populaire","F","Pas-de-Calais","natacha-bouchart","http://www.senat.fr/senateur/bouchart_natacha11060j.html"
"BOUCHOUX","Corinne","ECOLO","Europe Écologie Les Verts","F","Maine-et-Loire","corinne-bouchoux","http://www.senat.fr/senateur/bouchoux_corinne11029k.html"
"BOURDIN","Joël","UMP","Union pour un Mouvement Populaire","H","Eure","joel-bourdin","http://www.senat.fr/senateur/bourdin_joel89022n.html"
"BOURQUIN","Christian","RDSE","Parti socialiste","H","Pyrénées-Orientales","christian-bourquin","http://www.senat.fr/senateur/bourquin_christian11018g.html"
"BOURQUIN","Martial","SOC","Parti socialiste","H","Doubs","martial-bourquin","http://www.senat.fr/senateur/bourquin_martial08068f.html"
"BOURZAI","Bernadette","SOC","Parti socialiste","F","Corrèze","bernadette-bourzai","http://www.senat.fr/senateur/bourzai_bernadette08050u.html"
"BOUTANT","Michel","SOC","Parti socialiste","H","Charente","michel-boutant","http://www.senat.fr/senateur/boutant_michel08058d.html"
"BOYER","Jean","UDI-UC","Association PSLE Nouveau Centre","H","Haute-Loire","jean-boyer","http://www.senat.fr/senateur/boyer_jean01052r.html"
"BRUGUIÈRE","Marie-Thérèse","UMP","Union pour un Mouvement Populaire","F","Hérault","marie-therese-bruguiere","http://www.senat.fr/senateur/bruguiere_marie_therese08020n.html"
"BUFFET","François-Noël","UMP","Union pour un Mouvement Populaire","H","Rhône","francois-noel-buffet","http://www.senat.fr/senateur/buffet_francois_noel04047h.html"
"CAFFET","Jean-Pierre","SOC","Parti socialiste","H","Paris","jean-pierre-caffet","http://www.senat.fr/senateur/caffet_jean_pierre04066l.html"
