"id";"nom_de_famille";"nom";"groupe";"departement";"nb_2009_12_commission";"nb_2009_12_presences";"nb_2009_12_sanctions";"excuses_2009_12";"nb_2010_01_commission";"nb_2010_01_presences";"nb_2010_01_sanctions";"excuses_2010_01";"nb_2010_02_commission";"nb_2010_02_presences";"nb_2010_02_sanctions";"excuses_2010_02";"nb_2010_03_commission";"nb_2010_03_presences";"nb_2010_03_sanctions";"excuses_2010_03";"nb_2010_04_commission";"nb_2010_04_presences";"nb_2010_04_sanctions";"excuses_2010_04";"nb_2010_05_commission";"nb_2010_05_presences";"nb_2010_05_sanctions";"excuses_2010_05";"nb_2010_06_commission";"nb_2010_06_presences";"nb_2010_06_sanctions";"excuses_2010_06";
"135";"Abelin";"Jean-Pierre Abelin";"NC";"Vienne";"3";"0";"1";"";"1";"1";"0";"";"4";"1";"1";"";"1";"0";"0";"";"1";"2";"0";"";"3";"1";"0";"";"4";"2";"0";"";
"104";"Albarello";"Yves Albarello";"UMP";"Seine-et-Marne";"1";"1";"0";"";"2";"2";"0";"";"2";"2";"0";"";"2";"2";"0";"";"2";"2";"0";"";"3";"0";"1";"Pas d'UIP en mai";"4";"2";"0";"";
"143";"Ameline";"Nicole Ameline";"UMP";"Calvados";"3";"2";"0";"";"3";"1";"0";"";"4";"1";"1";"Pas d'APO en février";"2";"1";"0";"";"2";"2";"0";"";"4";"2";"0";"";"3";"1";"0";"";
"43";"Asensi";"François Asensi";"GDR";"Seine-Saint-Denis";"3";"2";"0";"";"3";"1";"0";"";"4";"1";"1";"Pas d'UIP en février";"2";"1";"0";"";"2";"1";"0";"";"4";"2";"0";"";"3";"2";"0";"";
"573";"Auclair";"Jean Auclair";"UMP";"Creuse";"3";"1";"0";"";"1";"0";"0";"";"4";"0";"2";"";"1";"1";"0";"";"1";"0";"0";"";"3";"1";"0";"";"4";"3";"0";"";
"5";"Baguet";"Pierre-Christophe Baguet";"UMP";"Hauts-de-Seine";"2";"1";"0";"";"3";"2";"0";"";"3";"1";"0";"";"1";"0";"0";"";"2";"0";"0";"";"4";"1";"1";"";"5";"4";"0";"";
"115";"Balkany";"Patrick Balkany";"UMP";"Hauts-de-Seine";"3";"2";"0";"";"3";"1";"0";"";"4";"1";"0";"Excuse : APF le 03/02";"2";"0";"0";"";"2";"0";"0";"";"4";"0";"2";"Pas &agrave; l'APF en mai";"3";"1";"0";"";
"343";"Bardet";"Jean Bardet";"UMP";"Val-d'Oise";"2";"2";"0";"";"3";"3";"0";"";"4";"1";"1";"";"2";"0";"0";"";"2";"0";"0";"";"4";"0";"2";"";"5";"4";"0";"";
"108";"Bareges";"Brigitte Barèges";"UMP";"Tarn-et-Garonne";"3";"0";"1";"";"3";"1";"0";"";"4";"0";"2";"";"2";"0";"0";"";"1";"0";"0";"";"4";"2";"0";"";"3";"2";"0";"";
"336";"Besselat";"Jean-Yves Besselat";"UMP";"Seine-Maritime";"1";"0";"0";"";"2";"1";"0";"";"2";"0";"0";"";"2";"0";"0";"";"2";"0";"0";"";"3";"0";"1";"";"4";"0";"2";"";
"606";"Biancheri";"Gabriel Biancheri";"UMP";"Drôme";"3";"2";"0";"";"1";"1";"0";"";"4";"2";"0";"";"1";"1";"0";"";"1";"1";"0";"";"3";"0";"1";"Pas &agrave; l'APF en mai";"4";"3";"0";"";
"581";"Bianco";"Jean-Louis Bianco";"SRC";"Alpes-de-Haute-Provence";"3";"0";"1";"";"3";"2";"0";"";"4";"1";"1";"";"2";"1";"0";"";"2";"2";"0";"";"4";"2";"0";"";"3";"3";"0";"";
"526";"Bignon";"Jérôme Bignon";"UMP";"Somme";"1";"0";"0";"";"2";"3";"0";"";"2";"2";"0";"";"2";"2";"0";"";"2";"1";"0";"";"3";"3";"0";"";"4";"0";"2";"";
