"nom";"groupe";"debut_mandat";"fin_mandat";"scrutins";"url"
"Jean-Pierre Abelin";"NC";"6/20/2007";;34;"http://www.nosdeputes.fr/jean-pierre-abelin"
"Élie Aboud";"UMP";"7/4/2007";;48;"http://www.nosdeputes.fr/elie-aboud"
"Bernard Accoyer";"UMP";"6/20/2007";;49;"http://www.nosdeputes.fr/bernard-accoyer"
"Patricia Adam";"SRC";"6/20/2007";;37;"http://www.nosdeputes.fr/patricia-adam"
"Manuel Aeschlimann";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/manuel-aeschlimann"
"Yves Albarello";"UMP";"6/20/2007";;40;"http://www.nosdeputes.fr/yves-albarello"
"Alfred Almont";"UMP";"6/20/2007";;48;"http://www.nosdeputes.fr/alfred-almont"
"Abdoulatifou Aly";"NI";"6/20/2007";;31;"http://www.nosdeputes.fr/abdoulatifou-aly"
"Nicole Ameline";"UMP";"6/20/2007";;42;"http://www.nosdeputes.fr/nicole-ameline"
"Marie-Hélène Amiable";"GDR";"6/20/2007";;45;"http://www.nosdeputes.fr/marie-helene-amiable"
"Jean-Paul Anciaux";"UMP";"6/20/2007";;48;"http://www.nosdeputes.fr/jean-paul-anciaux"
"Sylvie Andrieux";"SRC";"6/20/2007";;33;"http://www.nosdeputes.fr/sylvie-andrieux"
"Edwige Antier";"UMP";"7/23/2009";;43;"http://www.nosdeputes.fr/edwige-antier"
"François Asensi";"GDR";"6/20/2007";;41;"http://www.nosdeputes.fr/francois-asensi"
"Jean Auclair";"UMP";"6/20/2007";;45;"http://www.nosdeputes.fr/jean-auclair"
"Martine Aurillac";"UMP";"6/20/2007";;48;"http://www.nosdeputes.fr/martine-aurillac"
"Jean-Marc Ayrault";"SRC";"6/20/2007";;45;"http://www.nosdeputes.fr/jean-marc-ayrault"
"Jean-Paul Bacquet";"SRC";"6/20/2007";;38;"http://www.nosdeputes.fr/jean-paul-bacquet"
"Dominique Baert";"SRC";"6/20/2007";;41;"http://www.nosdeputes.fr/dominique-baert"
"Pierre-Christophe Baguet";"UMP";"6/20/2007";;43;"http://www.nosdeputes.fr/pierre-christophe-baguet"
"Patrick Balkany";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/patrick-balkany"
"Jean-Pierre Balligand";"SRC";"6/20/2007";;41;"http://www.nosdeputes.fr/jean-pierre-balligand"
"Gérard Bapt";"SRC";"6/20/2007";;36;"http://www.nosdeputes.fr/gerard-bapt"
"Jean Bardet";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/jean-bardet"
"Brigitte Barèges";"UMP";"6/20/2007";;39;"http://www.nosdeputes.fr/brigitte-bareges"
"François Baroin";"UMP";"6/20/2007";"4/23/2010";27;"http://www.nosdeputes.fr/francois-baroin"
"Claude Bartolone";"SRC";"6/20/2007";;31;"http://www.nosdeputes.fr/claude-bartolone"
"Jacques Bascou";"SRC";"6/20/2007";;36;"http://www.nosdeputes.fr/jacques-bascou"
"Sylvia Bassot";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/sylvia-bassot"
"Christian Bataille";"SRC";"6/20/2007";;41;"http://www.nosdeputes.fr/christian-bataille"
"Delphine Batho";"SRC";"6/20/2007";;43;"http://www.nosdeputes.fr/delphine-batho"
"Marie-Noëlle Battistel";"SRC";"6/7/2010";;10;"http://www.nosdeputes.fr/marie-noelle-battistel"
"François Bayrou";"NI";"6/20/2007";;34;"http://www.nosdeputes.fr/francois-bayrou"
"Patrick Beaudouin";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/patrick-beaudouin"
"Jean-Claude Beaulieu";"UMP";"7/20/2007";;49;"http://www.nosdeputes.fr/jean-claude-beaulieu"
"Huguette Bello";"GDR";"6/20/2007";;28;"http://www.nosdeputes.fr/huguette-bello"
"Jacques Alain Bénisti";"UMP";"6/20/2007";;42;"http://www.nosdeputes.fr/jacques-alain-benisti"
"Thierry Benoit";"NC";"6/20/2007";;43;"http://www.nosdeputes.fr/thierry-benoit"
"Jean-Louis Bernard";"UMP";"6/20/2007";;49;"http://www.nosdeputes.fr/jean-louis-bernard"
"Marc Bernier";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/marc-bernier"
"Chantal Berthelot";"SRC";"6/20/2007";;34;"http://www.nosdeputes.fr/chantal-berthelot"
"Xavier Bertrand";"UMP";"2/15/2009";;49;"http://www.nosdeputes.fr/xavier-bertrand"
"Véronique Besse";"NI";"6/20/2007";;40;"http://www.nosdeputes.fr/veronique-besse"
"Jean-Yves Besselat";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/jean-yves-besselat"
"Gabriel Biancheri";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/gabriel-biancheri"
"Jean-Louis Bianco";"SRC";"6/20/2007";;35;"http://www.nosdeputes.fr/jean-louis-bianco"
"Gisèle Biémouret";"SRC";"6/20/2007";;45;"http://www.nosdeputes.fr/gisele-biemouret"
"Jérôme Bignon";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/jerome-bignon"
"Martine Billard";"GDR";"6/20/2007";;42;"http://www.nosdeputes.fr/martine-billard"
"Jean-Marie Binetruy";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/jean-marie-binetruy"
"Claude Birraux";"UMP";"6/20/2007";;45;"http://www.nosdeputes.fr/claude-birraux"
"Étienne Blanc";"UMP";"6/20/2007";;43;"http://www.nosdeputes.fr/etienne-blanc"
"Émile Blessig";"UMP";"6/20/2007";;48;"http://www.nosdeputes.fr/emile-blessig"
"Serge Blisko";"SRC";"6/20/2007";;42;"http://www.nosdeputes.fr/serge-blisko"
"Patrick Bloche";"SRC";"6/20/2007";;35;"http://www.nosdeputes.fr/patrick-bloche"
"Roland Blum";"UMP";"6/20/2007";;45;"http://www.nosdeputes.fr/roland-blum"
"Alain Bocquet";"GDR";"6/20/2007";;46;"http://www.nosdeputes.fr/alain-bocquet"
"Claude Bodin";"UMP";"6/20/2007";;44;"http://www.nosdeputes.fr/claude-bodin"
"Philippe Boënnec";"UMP";"6/20/2007";;43;"http://www.nosdeputes.fr/philippe-boennec"
"Daniel Boisserie";"SRC";"6/20/2007";;38;"http://www.nosdeputes.fr/daniel-boisserie"
"Marcel Bonnot";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/marcel-bonnot"
"Maxime Bono";"SRC";"6/20/2007";;39;"http://www.nosdeputes.fr/maxime-bono"
"Jean-Yves Bony";"UMP";"7/20/2007";;41;"http://www.nosdeputes.fr/jean-yves-bony"
"Jean-Michel Boucheron";"SRC";"6/20/2007";;33;"http://www.nosdeputes.fr/jean-michel-boucheron"
"Jean-Claude Bouchet";"UMP";"6/20/2007";;43;"http://www.nosdeputes.fr/jean-claude-bouchet"
"Marie-Odile Bouillé";"SRC";"6/20/2007";;46;"http://www.nosdeputes.fr/marie-odile-bouille"
"Christophe Bouillon";"SRC";"6/20/2007";;42;"http://www.nosdeputes.fr/christophe-bouillon"
"Monique Boulestin";"SRC";"6/20/2007";;45;"http://www.nosdeputes.fr/monique-boulestin"
"Gilles Bourdouleix";"UMP";"6/20/2007";;47;"http://www.nosdeputes.fr/gilles-bourdouleix"
"Bruno Bourg-Broc";"UMP";"7/23/2009";;44;"http://www.nosdeputes.fr/bruno-bourg-broc"
"Pierre Bourguignon";"SRC";"6/20/2007";;43;"http://www.nosdeputes.fr/pierre-bourguignon"
"Chantal Bourragué";"UMP";"6/20/2007";;48;"http://www.nosdeputes.fr/chantal-bourrague"
"Danielle Bousquet";"SRC";"6/20/2007";;39;"http://www.nosdeputes.fr/danielle-bousquet"
"Michel Bouvard";"UMP";"6/20/2007";;41;"http://www.nosdeputes.fr/michel-bouvard"
"Loïc Bouvard";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/loic-bouvard"
"Valérie Boyer";"UMP";"6/20/2007";;40;"http://www.nosdeputes.fr/valerie-boyer"
"Françoise Branget";"UMP";"6/20/2007";;46;"http://www.nosdeputes.fr/francoise-branget"
"Patrick Braouezec";"GDR";"6/20/2007";;38;"http://www.nosdeputes.fr/patrick-braouezec"
"Jean-Pierre Brard";"GDR";"6/20/2007";;40;"http://www.nosdeputes.fr/jean-pierre-brard"
